Date,Open,High,Low,Close,Volume,volume_outlier,volume_zero_flag,days_since_prev,gap_flag
2018-10-10,5815.2861328125,5832.92822265625,5798.7431640625,5820.66796875,68341300,False,False,1.0,False
2018-10-11,5733.99609375,5746.2431640625,5669.72314453125,5702.82177734375,90536700,False,False,1.0,False
2018-10-12,5722.48681640625,5788.68017578125,5722.48681640625,5756.490234375,60181200,False,False,1.0,False
2018-10-15,5786.6640625,5816.04296875,5725.580078125,5727.255859375,65107300,False,False,3.0,False
2018-10-16,5737.94189453125,5800.81689453125,5719.5087890625,5800.81689453125,64884300,False,False,1.0,False
2018-10-17,5833.2529296875,5868.6201171875,5819.1748046875,5868.6201171875,64580100,False,False,1.0,False
2018-10-18,5850.1240234375,5858.7880859375,5811.9248046875,5845.2421875,62773900,False,False,1.0,False
2018-10-19,5810.1298828125,5861.990234375,5796.7841796875,5837.291015625,63540800,False,False,1.0,False
2018-10-22,5841.4189453125,5869.65185546875,5827.6298828125,5840.43505859375,68594500,False,False,3.0,False
2018-10-23,5838.69091796875,5848.0439453125,5797.3359375,5797.89111328125,61556000,False,False,1.0,False
2018-10-24,5795.7509765625,5818.83984375,5709.4169921875,5709.4169921875,71593900,False,False,1.0,False
2018-10-25,5629.9501953125,5754.96484375,5623.8427734375,5754.96484375,51569200,False,False,1.0,False
2018-10-26,5761.451171875,5790.953125,5748.61376953125,5784.9208984375,52533300,False,False,1.0,False
2018-10-29,5788.9248046875,5814.67919921875,5747.0341796875,5754.60693359375,49595700,False,False,3.0,False
2018-10-30,5755.02001953125,5789.10009765625,5733.240234375,5789.10009765625,59748100,False,False,1.0,False
2018-10-31,5817.4921875,5835.173828125,5769.544921875,5831.64990234375,69910100,False,False,1.0,False
2018-11-01,5855.22216796875,5883.22021484375,5815.7568359375,5835.919921875,63198100,False,False,1.0,False
2018-11-02,5873.0068359375,5906.2919921875,5827.15380859375,5906.2919921875,67022200,False,False,1.0,False
2018-11-05,5895.2431640625,5926.634765625,5886.2060546875,5920.59423828125,53671600,False,False,3.0,False
2018-11-06,5942.32177734375,5959.9658203125,5898.56396484375,5923.93017578125,53343100,False,False,1.0,False
2018-11-07,5942.22314453125,5947.60888671875,5891.14013671875,5939.88623046875,62481200,False,False,1.0,False
2018-11-08,5972.3271484375,5996.8408203125,5949.51611328125,5976.80615234375,73188500,False,False,1.0,False
2018-11-09,5934.17822265625,5936.0341796875,5859.087890625,5874.15380859375,65342000,False,False,1.0,False
2018-11-12,5865.7412109375,5884.0810546875,5777.05322265625,5777.05322265625,53857800,False,False,3.0,False
